Description;ASSETNUM;LOCATION;facteur;valeur;pourcentage;action_recommandee;action_secondaire;FC;PB;type_lubrification;oil_level;downtime;vibration;power_alimentation;maintenance_frequency;seniority
surchauffe;ASSET12;A105OC999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;1500 RPM;41.66666666666667;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_CHAU;aucune;1;2.61;oui;faible;mensuelle;16
usure mecanique;ASSET1;A1021OC999;Charge appliquée - Fatigue du matériau - Lubrification;1500 RPM;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;huile;2;3.47;oui;faible;trimestrielle;0
problème tension;CAL101;A11211OC999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;60.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;graisse;1;4.0;oui;moyenne;mensuelle;4
défaillance capteur;CAL102;A1121OC999;Température ambiante - Humidité - Âge du capteur;>45°C;25.0;Vérifier l'état des capteurs;Remplacer les capteurs défectueux;DF_CAP;PB_CAP;semi-solide;1;4.49;oui;moyenne;hebdomadaire;18
problème tension;CAL103;A11OC999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;huile;4;6.8;non;moyenne;annuelle;10
défaut logiciel;7112;L3ASZ999;Version du firmware - CPU Usage - Erreurs mémoire;>45°C;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;semi-solide;2;2.44;oui;moyenne;trimestrielle;19
usure mécanique;7113;L8BSZ999;Charge appliquée - Fatigue du matériau - Lubrification;Humidité: 90% RH;50.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;huile;2;1.39;non;bonne;hebdomadaire;14
problème tension;7114;L7BSZ999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;huile;5;3.1;oui;faible;mensuelle;1
panne pneumatique;7115;L2BSZ999;Pression d'air - Fuites dans le circuit - Qualité de l'air;Fissurés;50.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;huile;2;1.65;oui;faible;annuelle;10
panne pneumatique;9000;L18BSZ999;Pression d'air - Fuites dans le circuit - Qualité de l'air;1500 RPM;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;aucune;5;4.66;non;moyenne;mensuelle;13
problème tension;9001;L7B1SZ999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;graisse;2;2.59;non;moyenne;hebdomadaire;5
surchauffe;9002;L3BSZ999;"""	Pression du système""";Fissurés;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;graisse;3;4.26;oui;bonne;trimestrielle;4
défaut logiciel;9010;L7B1VBC999;Version du firmware - CPU Usage - Erreurs mémoire;85 dB;66.66666666666666;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;semi-solide;2;2.17;non;bonne;annuelle;8
surchauffe moteur;A43ABI999;L3B3DM999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;85 dB;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;aucune;4;6.84;oui;bonne;hebdomadaire;7
surchauffe moteur;A37A1BI999;A12DM999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;85 dB;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;aucune;3;4.97;non;moyenne;hebdomadaire;15
défaillance capteur;A41BI999;A35DM999;Température ambiante - Humidité - Âge du capteur;>45°C;25.0;Vérifier l'état des capteurs;Remplacer les capteurs défectueux;DF_CAP;PB_CAP;semi-solide;1;0.81;oui;faible;hebdomadaire;7
fuite hydraulique;A16BI999;A201DM999;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;2;3.5;oui;moyenne;annuelle;15
défaut logiciel;A20BI999;A111DM999;Version du firmware - CPU Usage - Erreurs mémoire;Humidité: 90% RH;50.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;aucune;4;5.73;non;moyenne;mensuelle;11
problème tension;A17ABI999;A121ADM999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;40.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;huile;3;4.42;non;faible;mensuelle;7
problème tension;A23ABI999;A131ADM999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;66.66666666666666;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;aucune;1;2.29;oui;faible;annuelle;0
défaut logiciel;A37ABI999;A13DM999;Version du firmware - CPU Usage - Erreurs mémoire;Humidité: 90% RH;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;huile;3;1.01;oui;faible;mensuelle;5
panne pneumatique;A23AqBI999;A14DM999;Pression d'air - Fuites dans le circuit - Qualité de l'air;Fissurés;50.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;aucune;5;7.83;non;faible;annuelle;8
panne pneumatique;A15BI999;A141DM999;Pression d'air - Fuites dans le circuit - Qualité de l'air;Humidité: 90% RH;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;aucune;2;5.57;non;moyenne;hebdomadaire;1
problème tension;A12BI999;BR300;Tension d'alimentation - Isolation des cbles - Température des composants;Humidité: 90% RH;100.0;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;graisse;1;2.47;oui;faible;mensuelle;3
fuite hydraulique;L3AZBM999;SHIPPING;Pression du système - État des joints - Type de fluide;Humidité: 90% RH;100.0;Identifier la source de la fuite;Remplacer les joints;pb_HYD;pb_HYD;graisse;2;1.83;oui;moyenne;hebdomadaire;3
problème tension;L11BI999;BR450;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;40.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;semi-solide;5;5.43;oui;moyenne;annuelle;12
fuite hydraulique;L11BM999;BOILER;Pression du système - État des joints - Type de fluide;Humidité: 90% RH;100.0;Identifier la source de la fuite;Remplacer les joints;pb_HYD;pb_HYD;semi-solide;3;2.88;non;moyenne;trimestrielle;18
fuite hydraulique;L1AZBM999;BR230;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;graisse;3;4.09;non;bonne;annuelle;1
fuite hydraulique;L2BI999;BPM3100;Pression du système - État des joints - Type de fluide;Fissurés;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;5;4.22;non;moyenne;hebdomadaire;4
fuite hydraulique;L8AZBM999;REPAIR;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;2;6.07;oui;moyenne;hebdomadaire;9
panne pneumatique;L2BM999;BR210;Pression d'air - Fuites dans le circuit - Qualité de l'air;Fissurés;50.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;semi-solide;3;1.64;non;moyenne;mensuelle;7
défaut logiciel;L31BM999;BR430;Version du firmware - CPU Usage - Erreurs mémoire;1500 RPM;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;huile;5;6.91;oui;bonne;mensuelle;16
défaut logiciel;L31BI999;BR200;Version du firmware - CPU Usage - Erreurs mémoire;85 dB;66.66666666666666;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;huile;5;6.94;non;moyenne;annuelle;10
fuite hydraulique;L5AZBM999;BR460;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;aucune;5;2.32;non;bonne;hebdomadaire;4
défaut logiciel;L1DZBM999;POLE300;Version du firmware - CPU Usage - Erreurs mémoire;Humidité: 90% RH;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;semi-solide;5;3.45;oui;bonne;annuelle;20
défaut logiciel;1001;OFF103;Version du firmware - CPU Usage - Erreurs mémoire;>45°C;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;huile;1;5.62;non;bonne;mensuelle;0
défaut logiciel;12600;BR400;Version du firmware - CPU Usage - Erreurs mémoire;Humidité: 90% RH;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;semi-solide;2;1.34;non;faible;mensuelle;16
fuite hydraulique;11450;PACKAGE;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;2;3.69;non;bonne;hebdomadaire;16
usure mecanique;11230;ECC210;Charge appliquée - Fatigue du matériau - Lubrification;1500 RPM;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;aucune;4;1.86;oui;moyenne;trimestrielle;11
problème tension;12300;MOFLOOR1;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;66.66666666666666;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;aucune;2;7.19;oui;faible;mensuelle;9
panne pneumatique;11430;CENTRAL;Pression d'air - Fuites dans le circuit - Qualité de l'air;Humidité: 90% RH;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;aucune;3;2.61;oui;faible;annuelle;17
panne pneumatique;13141;OFFICE;Pression d'air - Fuites dans le circuit - Qualité de l'air;>45°C;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;huile;2;4.91;oui;bonne;annuelle;4
fuite hydraulique;12700;MH100;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;5;7.87;non;moyenne;mensuelle;20
panne pneumatique;11470;NEEDHAM;Pression d'air - Fuites dans le circuit - Qualité de l'air;1500 RPM;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;semi-solide;4;2.83;oui;faible;annuelle;2
fuite hydraulique;13140;COMPLAB;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;aucune;4;5.02;non;moyenne;annuelle;12
panne pneumatique;11200;BLK2000;"""	Pression du système""";>45°C;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;semi-solide;5;3.37;oui;faible;trimestrielle;0
défaut logiciel;11300;SAN101;Version du firmware - CPU Usage - Erreurs mémoire;85 dB;66.66666666666666;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;huile;4;3.51;non;faible;trimestrielle;7
problème tension;11460;BR431;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;60.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;graisse;5;6.42;oui;bonne;trimestrielle;6
surchauffe;12210;CONF200;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;>45°C;0.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;semi-solide;1;4.86;oui;moyenne;annuelle;0
défaut logiciel;12100;FINALPKG;Version du firmware - CPU Usage - Erreurs mémoire;>45°C;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;semi-solide;4;7.51;non;bonne;annuelle;6
surchauffe;13150;MARKING;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;1500 RPM;41.66666666666667;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_CHAU;semi-solide;4;4.48;non;bonne;hebdomadaire;5
fuite hydraulique;13110;FIELDSTAFF;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;aucune;3;1.32;oui;bonne;hebdomadaire;20
surchauffe;13160;COMP310;"""	Pression du système""";Fissurés;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;semi-solide;1;2.6;non;faible;hebdomadaire;6
surchauffe;13120;MOFLOOR4;"""	Pression du système""";Fissurés;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;aucune;4;4.86;oui;faible;hebdomadaire;20
panne pneumatique;52300;L41BI999;Pression d'air - Fuites dans le circuit - Qualité de l'air;Humidité: 90% RH;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;aucune;2;4.13;oui;faible;annuelle;6
panne pneumatique;1002;L1BI999;Pression d'air - Fuites dans le circuit - Qualité de l'air;Fissurés;50.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;graisse;5;3.12;non;bonne;mensuelle;17
panne pneumatique;1000;L3BI999;Pression d'air - Fuites dans le circuit - Qualité de l'air;>45°C;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;graisse;3;0.85;non;faible;trimestrielle;12
usure mécanique;7111;L31BI999;"""	Pression du système""";1500 RPM;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;graisse;4;6.15;non;moyenne;annuelle;10
surchauffe;11210;L11BI999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;>45°C;0.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;aucune;5;4.88;oui;bonne;hebdomadaire;12
fuite hydraulique;13145;L21BI999;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;1;7.32;non;bonne;annuelle;15
fuite hydraulique;13143;L2BI999;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;aucune;4;6.22;oui;faible;hebdomadaire;2
surchauffe;13170;L8AZBM999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;1500 RPM;41.66666666666667;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_CHAU;huile;3;3.42;non;bonne;hebdomadaire;15
problème tension;12610;A37DM999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;66.66666666666666;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;huile;4;4.78;non;faible;annuelle;19
usure mécanique;12710;A36DM999;Charge appliquée - Fatigue du matériau - Lubrification;Humidité: 90% RH;50.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;huile;5;4.42;non;moyenne;mensuelle;14
surchauffe moteur;23972;A371DM999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;85 dB;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;aucune;4;5.99;oui;faible;annuelle;12
panne pneumatique;13180;L430;Pression d'air - Fuites dans le circuit - Qualité de l'air;Fissurés;50.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;graisse;2;3.44;oui;bonne;trimestrielle;11
surchauffe;ASSET12345;L3100;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;1500 RPM;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;huile;1;3.08;oui;bonne;trimestrielle;8
panne pneumatique;ASSET1234;L200;Pression d'air - Fuites dans le circuit - Qualité de l'air;Fissurés;50.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;semi-solide;1;7.51;non;faible;mensuelle;6
panne pneumatique;ASSET123;L300;Pression d'air - Fuites dans le circuit - Qualité de l'air;Fissurés;50.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;semi-solide;4;2.38;oui;bonne;trimestrielle;2
fuite hydraulique;ASSET12;TUMBLE;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;graisse;4;7.12;non;moyenne;mensuelle;7
surchauffe;ASSET1;CLEAN;"""	Pression du système""";Fissurés;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;aucune;5;2.6;oui;bonne;mensuelle;11
fuite hydraulique;CAL101;MECHASSY;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;aucune;3;1.44;oui;faible;mensuelle;15
problème tension;CAL102;MOLD;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;40.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;aucune;5;7.12;oui;faible;mensuelle;10
problème tension;CAL103;6THFLOOR;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;aucune;5;6.04;non;moyenne;hebdomadaire;2
problème tension;7112;A10211OC999;Tension d'alimentation - Isolation des cbles - Température des composants;Humidité: 90% RH;100.0;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;aucune;1;3.71;non;moyenne;hebdomadaire;9
défaut logiciel;7113;L4AZVBC999;Version du firmware - CPU Usage - Erreurs mémoire;85 dB;66.66666666666666;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;aucune;2;0.94;non;moyenne;hebdomadaire;18
usure mécanique;7114;L48BZVBC999;"""	Pression du système""";1500 RPM;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;graisse;1;4.7;oui;bonne;hebdomadaire;17
problème tension;7115;L45AZVBC999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;66.66666666666666;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;aucune;1;0.58;oui;moyenne;annuelle;10
problème tension;9000;L41BZVBC999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;semi-solide;3;4.42;non;faible;trimestrielle;7
problème tension;9001;L41AZVBC999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;aucune;4;0.87;oui;faible;annuelle;19
panne pneumatique;9002;L2B1VBC999;Pression d'air - Fuites dans le circuit - Qualité de l'air;Fissurés;50.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;aucune;1;7.21;non;bonne;hebdomadaire;5
fuite hydraulique;9010;L3A1VBC999;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;aucune;3;2.99;oui;bonne;hebdomadaire;1
turn western;A43ABI999;L6B1VBC999;"""	Pression du système""";>45°C;100.0;Vérifier l'état des capteurs;Remplacer les composants usés;DF_GEN;PB_GEN;graisse;2;2.39;oui;bonne;trimestrielle;5
fuite hydraulique;A37A1BI999;L8B1VBC999;Pression du système - État des joints - Type de fluide;85 dB;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;3;2.88;oui;faible;mensuelle;4
surchauffe;A41BI999;L7BVBC999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;1500 RPM;41.66666666666667;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_CHAU;huile;3;4.48;oui;faible;mensuelle;6
surchauffe moteur;A16BI999;L5A3DM999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;85 dB;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;graisse;2;7.04;non;faible;annuelle;11
défaut logiciel;A20BI999;L9B2DM999;Version du firmware - CPU Usage - Erreurs mémoire;Humidité: 90% RH;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;graisse;1;7.91;non;moyenne;annuelle;0
fuite hydraulique;A17ABI999;1L3B1SZ999;"""	Pression du système""";Fissurés;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;5;5.45;non;moyenne;hebdomadaire;12
défaut logiciel;A23ABI999;A105OC999;Version du firmware - CPU Usage - Erreurs mémoire;Humidité: 90% RH;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;aucune;3;5.35;non;bonne;hebdomadaire;8
défaillance capteur;A37ABI999;A1021OC999;Température ambiante - Humidité - Âge du capteur;>45°C;100.0;Vérifier l'état des capteurs;Remplacer les capteurs défectueux;DF_CAP;PB_CAP;huile;2;7.34;non;faible;trimestrielle;5
surchauffe;A23AqBI999;A11211OC999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;>45°C;0.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;aucune;5;6.26;oui;bonne;trimestrielle;4
fuite hydraulique;A15BI999;A1121OC999;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;aucune;4;3.03;non;moyenne;hebdomadaire;18
surchauffe;A12BI999;A11OC999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;1500 RPM;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;aucune;4;3.2;non;bonne;trimestrielle;19
usure mecanique;L3AZBM999;L3ASZ999;Charge appliquée - Fatigue du matériau - Lubrification;1500 RPM;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;aucune;1;4.26;oui;moyenne;trimestrielle;6
défaut logiciel;L11BI999;L8BSZ999;Version du firmware - CPU Usage - Erreurs mémoire;>45°C;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;aucune;2;7.46;non;moyenne;trimestrielle;18
fuite hydraulique;L11BM999;L7BSZ999;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;aucune;3;5.4;oui;bonne;hebdomadaire;20
problème tension;L1AZBM999;L2BSZ999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;huile;2;0.53;oui;bonne;mensuelle;11
panne pneumatique;L2BI999;L18BSZ999;Pression d'air - Fuites dans le circuit - Qualité de l'air;Fissurés;50.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;huile;5;6.77;oui;moyenne;trimestrielle;19
usure mecanique;L8AZBM999;L7B1SZ999;Charge appliquée - Fatigue du matériau - Lubrification;1500 RPM;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;graisse;5;6.49;oui;bonne;mensuelle;17
problème tension;L2BM999;L3BSZ999;Tension d'alimentation - Isolation des cbles - Température des composants;Humidité: 90% RH;100.0;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;aucune;2;3.42;non;moyenne;hebdomadaire;20
défaut logiciel;L31BM999;L7B1VBC999;Version du firmware - CPU Usage - Erreurs mémoire;1500 RPM;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;semi-solide;2;6.53;oui;moyenne;mensuelle;19
surchauffe;L31BI999;L3B3DM999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;1500 RPM;41.66666666666667;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_CHAU;huile;2;3.93;non;bonne;mensuelle;17
fuite hydraulique;L5AZBM999;A12DM999;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;graisse;1;6.13;oui;bonne;mensuelle;20
défaut logiciel;L1DZBM999;A35DM999;Version du firmware - CPU Usage - Erreurs mémoire;1500 RPM;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;huile;1;1.71;non;moyenne;hebdomadaire;1
panne pneumatique;1001;A201DM999;Pression d'air - Fuites dans le circuit - Qualité de l'air;>45°C;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;aucune;2;4.85;oui;faible;trimestrielle;1
fuite hydraulique;12600;A111DM999;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;graisse;3;2.35;non;moyenne;hebdomadaire;3
surchauffe;11450;A121ADM999;"""	Pression du système""";Fissurés;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;aucune;4;4.09;non;moyenne;trimestrielle;0
panne pneumatique;11230;A131ADM999;Pression d'air - Fuites dans le circuit - Qualité de l'air;Fissurés;50.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;huile;5;2.97;oui;moyenne;annuelle;3
fuite hydraulique;12300;A13DM999;Pression du système - État des joints - Type de fluide;85 dB;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;graisse;2;3.88;oui;bonne;trimestrielle;18
fuite hydraulique;11430;A14DM999;Pression du système - État des joints - Type de fluide;Humidité: 90% RH;100.0;Identifier la source de la fuite;Remplacer les joints;pb_HYD;pb_HYD;aucune;5;0.69;non;moyenne;hebdomadaire;16
usure mecanique;13141;A141DM999;Charge appliquée - Fatigue du matériau - Lubrification;1500 RPM;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;semi-solide;4;2.57;non;bonne;trimestrielle;5
surchauffe moteur;12700;BR300;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;85 dB;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;aucune;1;6.38;oui;moyenne;hebdomadaire;19
fuite hydraulique;11470;SHIPPING;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;1;1.53;oui;moyenne;mensuelle;13
usure mecanique;13140;BR450;Charge appliquée - Fatigue du matériau - Lubrification;1500 RPM;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;aucune;5;0.69;oui;bonne;mensuelle;16
problème tension;11200;BOILER;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;graisse;4;4.24;oui;moyenne;annuelle;15
défaut logiciel;11300;BR230;Version du firmware - CPU Usage - Erreurs mémoire;>45°C;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;aucune;4;7.06;non;moyenne;trimestrielle;5
fuite hydraulique;11460;BPM3100;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;1;1.33;oui;bonne;mensuelle;3
défaillance capteur;12210;REPAIR;Température ambiante - Humidité - Âge du capteur;>45°C;25.0;Vérifier l'état des capteurs;Remplacer les capteurs défectueux;DF_CAP;PB_CAP;huile;4;1.8;non;faible;mensuelle;8
fuite hydraulique;12100;BR210;Pression du système - État des joints - Type de fluide;Fissurés;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;graisse;5;6.69;oui;faible;hebdomadaire;12
